id,category_id,page_id,primarylabel
1555,4,674,f
1556,3,674,f
1169,16,1182,t
1545,4,669,f
1633,62,1420,f
1632,3,1420,f
1343,136,421,f
2198,4,1704,f
1642,133,224,f
1640,45,268,t
1601,4,1416,f
1617,4,1418,f
1618,3,1418,f
1619,62,1418,f
1620,63,1418,t
1602,3,1416,f
1603,62,1416,t
1604,63,1416,f
1497,71,249,f
1459,100,529,t
777,49,529,f
2930,4,2022,f
2931,3,2022,f
1610,63,1417,t
1609,62,1417,f
1608,3,1417,f
1529,34,1407,f
1530,29,1407,t
1490,81,585,f
1637,31,1422,f
2941,4,828,f
1627,4,666,f
1628,3,666,f
1635,29,1421,f
2983,3,2047,f
1631,63,1419,f
1630,3,1419,f
1629,62,1419,t
797,50,549,t
2942,3,828,f
2996,4,2051,f
2997,3,2051,f
2915,4,2018,f
1565,3,1413,f
1605,63,804,t
1537,4,1410,f
1538,3,1410,f
770,47,522,t
1701,92,1463,f
2916,3,2018,f
1624,4,1225,f
1561,4,803,f
1700,91,1463,f
1532,35,1408,f
1534,30,1408,f
2199,3,1704,f
1562,3,803,f
689,50,441,t
1549,4,671,f
1625,62,1225,f
1626,3,1225,f
1646,4,1427,f
1606,4,804,f
1641,39,515,t
2240,4,1724,f
762,48,514,t
2840,3,1980,f
1471,26,1382,f
1470,22,1382,t
1647,3,1427,f
918,63,655,f
1417,3,655,f
1550,3,671,f
1551,4,672,f
1552,3,672,f
1559,4,691,f
1553,4,675,f
1554,3,675,f
1557,4,676,f
1558,3,676,f
1546,3,669,f
1636,30,1421,f
1563,62,803,f
1658,4,1436,f
1659,3,1436,f
1050,39,250,t
1907,54,1458,f
1871,3,1574,f
525,45,277,t
1362,53,541,f
1662,92,35,f
1874,3,1577,f
2265,4,1744,f
1665,92,36,f
53,91,40,f
925,92,40,f
926,92,41,f
54,91,41,f
927,92,42,f
55,91,42,f
928,92,43,f
56,91,43,f
59,91,45,f
922,92,45,f
60,91,46,f
921,92,46,f
2933,3,2023,f
1875,4,1578,f
1876,3,1578,f
520,45,272,t
1670,3,1441,f
1898,132,252,f
2943,4,2026,f
1486,99,1393,t
707,44,459,t
546,45,298,t
1385,21,142,f
1087,53,688,t
2842,3,1981,f
1669,3,1440,f
1663,4,1438,f
1664,3,1438,f
1805,4,1536,f
1806,3,1536,f
1836,3,1553,f
1837,4,1553,f
480,53,232,f
2179,54,718,f
1834,4,1092,f
1685,3,1451,f
2789,4,1077,f
2790,3,1077,f
2024,3,1623,f
1858,3,1566,f
1682,3,1449,f
2278,47,396,t
1902,57,1326,t
1672,3,1443,f
1675,89,1445,f
795,44,547,t
2944,3,2026,f
2808,3,1282,f
1856,4,1565,f
1893,45,373,f
1740,3,1484,f
1895,99,564,f
1860,4,1568,f
1846,4,1559,f
1877,4,1579,f
1878,3,1579,f
1754,71,567,t
1676,3,1446,f
2964,4,2038,f
1888,3,1586,f
1889,3,1587,f
2965,3,2038,f
2200,4,1705,f
1826,3,1548,f
1008,79,699,f
1899,123,249,f
1855,3,1564,f
1723,3,1474,f
1051,70,223,t
1863,4,1570,f
1864,3,1570,f
1859,3,1567,f
1862,3,1569,f
1722,4,1474,f
1880,3,1581,f
1738,3,1483,f
1737,4,1483,f
1852,3,1562,f
1865,4,1571,f
1866,3,1571,f
1868,4,1572,f
1869,3,1572,f
1686,4,1452,f
1872,4,1576,f
1873,3,1576,f
1881,4,1582,f
1882,3,1582,f
1883,3,1583,f
1879,3,1580,f
2286,4,1747,f
1654,91,1434,f
208,24,142,f
1884,4,1584,f
1885,3,1584,f
1870,3,1573,f
1065,53,772,f
1683,3,1450,f
2932,4,2023,f
1890,4,1588,f
